epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.98241,3.02802,0.10185,0.31944,2.95508,2.73e-05,2.73e-05,2.73e-05
2,17.5544,2.82732,0.25463,0.56481,2.58789,5.87596e-05,5.87596e-05,5.87596e-05
3,27.0425,2.45239,0.55093,0.84722,2.10742,8.97988e-05,8.97988e-05,8.97988e-05
4,36.3797,1.95806,0.70833,0.93981,1.56543,0.000120418,0.000120418,0.000120418
5,45.4998,1.47065,0.81944,0.97685,0.99561,0.000150616,0.000150616,0.000150616
6,54.6176,0.86762,0.875,0.98611,0.57812,0.000180394,0.000180394,0.000180394
7,63.766,0.49509,0.9213,0.99537,0.31714,0.000209751,0.000209751,0.000209751
8,72.855,0.3087,0.97222,1,0.11108,0.000238688,0.000238688,0.000238688
9,82.0265,0.29935,0.97685,1,0.05798,0.000267205,0.000267205,0.000267205
10,91.2728,0.13691,0.99074,1,0.04565,0.000295301,0.000295301,0.000295301
11,100.409,0.18844,0.98148,1,0.06604,0.000322977,0.000322977,0.000322977
12,109.513,0.1026,0.99074,1,0.06293,0.000350233,0.000350233,0.000350233
13,118.584,0.13289,0.96759,1,0.09955,0.000377068,0.000377068,0.000377068
14,127.635,0.13612,0.96759,1,0.0993,0.000403482,0.000403482,0.000403482
15,136.698,0.17191,0.95833,1,0.12708,0.000412958,0.000412958,0.000412958
16,145.787,0.16036,0.96759,1,0.11859,0.000409955,0.000409955,0.000409955
17,155.034,0.16149,0.97222,1,0.06024,0.000406952,0.000406952,0.000406952
18,164.198,0.42954,0.98611,1,0.05154,0.000403949,0.000403949,0.000403949
19,173.31,0.18901,0.96759,0.99537,0.09576,0.000400946,0.000400946,0.000400946
20,182.431,0.18021,0.91204,0.99074,0.26294,0.000397943,0.000397943,0.000397943
21,191.506,0.25082,0.95833,0.99537,0.1925,0.00039494,0.00039494,0.00039494
22,200.596,0.06304,0.97222,1,0.13269,0.000391937,0.000391937,0.000391937
23,209.659,0.1413,0.98148,1,0.08118,0.000388934,0.000388934,0.000388934
24,218.875,0.05068,0.97222,1,0.06647,0.000385931,0.000385931,0.000385931
25,227.984,0.07318,0.98611,1,0.05933,0.000382928,0.000382928,0.000382928
26,237.108,0.1488,0.99537,1,0.06708,0.000379925,0.000379925,0.000379925
27,246.293,0.15216,0.99074,1,0.02776,0.000376922,0.000376922,0.000376922
28,255.362,0.10578,0.98148,1,0.05411,0.000373919,0.000373919,0.000373919
29,264.463,0.12015,0.93981,0.99537,0.26489,0.000370916,0.000370916,0.000370916
30,273.54,0.08035,0.98611,1,0.09772,0.000367913,0.000367913,0.000367913
31,282.755,0.26244,0.98611,1,0.04697,0.00036491,0.00036491,0.00036491
32,291.865,0.33254,0.98611,1,0.05255,0.000361907,0.000361907,0.000361907
33,300.936,0.13393,0.98148,0.99537,0.11273,0.000358904,0.000358904,0.000358904
34,310.024,0.1385,0.97685,0.99537,0.10797,0.000355901,0.000355901,0.000355901
35,319.073,0.12803,0.94444,0.99537,0.24683,0.000352898,0.000352898,0.000352898
36,328.159,0.19269,0.9537,1,0.25269,0.000349895,0.000349895,0.000349895
37,337.285,0.14483,0.96296,1,0.09918,0.000346892,0.000346892,0.000346892
38,346.435,0.10914,0.96759,1,0.0965,0.000343889,0.000343889,0.000343889
39,355.606,0.0683,0.99074,1,0.03638,0.000340886,0.000340886,0.000340886
40,364.741,0.05192,0.99537,1,0.02441,0.000337883,0.000337883,0.000337883
41,373.86,0.13498,1,1,0.00756,0.00033488,0.00033488,0.00033488
42,382.993,0.06703,0.99537,1,0.01765,0.000331877,0.000331877,0.000331877
43,392.015,0.05398,0.99074,1,0.03717,0.000328874,0.000328874,0.000328874
44,401.12,0.23341,0.98148,1,0.06097,0.000325871,0.000325871,0.000325871
45,410.187,0.02393,0.99074,1,0.03754,0.000322868,0.000322868,0.000322868
46,419.473,0.0598,0.99537,1,0.02385,0.000319865,0.000319865,0.000319865
47,428.581,0.03789,0.98611,1,0.05164,0.000316862,0.000316862,0.000316862
48,437.633,0.07724,0.98148,1,0.08746,0.000313859,0.000313859,0.000313859
49,446.702,0.11732,0.99537,1,0.02805,0.000310856,0.000310856,0.000310856
50,455.745,0.02808,0.98148,1,0.03989,0.000307853,0.000307853,0.000307853
51,464.869,0.17234,0.98611,1,0.03583,0.00030485,0.00030485,0.00030485
52,473.909,0.05674,0.97222,1,0.08887,0.000301847,0.000301847,0.000301847
53,483.222,0.08855,0.98611,1,0.03482,0.000298844,0.000298844,0.000298844
54,492.332,0.21537,0.97685,1,0.06229,0.000295841,0.000295841,0.000295841
55,501.406,0.04263,0.96296,1,0.10529,0.000292838,0.000292838,0.000292838
56,510.442,0.21849,0.99537,1,0.02061,0.000289835,0.000289835,0.000289835
57,519.498,0.05462,0.97685,1,0.061,0.000286832,0.000286832,0.000286832
58,528.586,0.13793,0.99537,1,0.0186,0.000283829,0.000283829,0.000283829
59,537.696,0.24238,0.98611,1,0.03882,0.000280826,0.000280826,0.000280826
60,546.898,0.22021,0.98148,1,0.03488,0.000277823,0.000277823,0.000277823
61,556.144,0.07927,0.99537,1,0.01797,0.00027482,0.00027482,0.00027482
62,565.243,0.11542,0.99537,1,0.02119,0.000271817,0.000271817,0.000271817
63,574.292,0.04116,0.99537,1,0.01833,0.000268814,0.000268814,0.000268814
64,583.371,0.05211,0.99537,1,0.01347,0.000265811,0.000265811,0.000265811
65,592.469,0.15581,0.99537,1,0.01263,0.000262808,0.000262808,0.000262808
66,601.518,0.03295,0.98611,1,0.03589,0.000259805,0.000259805,0.000259805
67,610.648,0.03543,0.98611,1,0.04327,0.000256802,0.000256802,0.000256802
68,619.905,0.17407,1,1,0.00993,0.000253799,0.000253799,0.000253799
69,629.037,0.08427,1,1,0.00773,0.000250796,0.000250796,0.000250796
70,638.196,0.1329,0.99537,1,0.01054,0.000247793,0.000247793,0.000247793
71,647.252,0.06423,0.99074,1,0.0289,0.00024479,0.00024479,0.00024479
72,656.308,0.16119,0.99537,1,0.01659,0.000241787,0.000241787,0.000241787
73,665.374,0.27091,1,1,0.009,0.000238784,0.000238784,0.000238784
74,674.511,0.22345,0.99074,1,0.02852,0.000235781,0.000235781,0.000235781
75,683.809,0.05577,0.98611,1,0.05606,0.000232778,0.000232778,0.000232778
76,692.907,0.0825,0.99537,1,0.01912,0.000229775,0.000229775,0.000229775
77,702.001,0.16463,0.97685,1,0.05856,0.000226772,0.000226772,0.000226772
78,711.095,0.03973,0.98611,1,0.08557,0.000223769,0.000223769,0.000223769
79,720.209,0.08735,0.98148,1,0.05655,0.000220766,0.000220766,0.000220766
80,729.304,0.08595,0.99537,1,0.02345,0.000217763,0.000217763,0.000217763
81,738.384,0.08563,0.99074,1,0.03424,0.00021476,0.00021476,0.00021476
82,747.567,0.24757,0.99074,1,0.03442,0.000211757,0.000211757,0.000211757
83,756.646,0.18707,0.99537,1,0.02713,0.000208754,0.000208754,0.000208754
84,765.801,0.0411,0.98148,1,0.10071,0.000205751,0.000205751,0.000205751
85,774.871,0.11163,0.98611,1,0.06439,0.000202748,0.000202748,0.000202748
86,783.998,0.0844,0.98611,1,0.06058,0.000199745,0.000199745,0.000199745
87,793.096,0.11664,0.98611,1,0.03156,0.000196742,0.000196742,0.000196742
88,802.132,0.16205,0.99537,1,0.01823,0.000193739,0.000193739,0.000193739
89,811.328,0.16179,0.98611,1,0.0383,0.000190736,0.000190736,0.000190736
90,820.527,0.16148,0.99537,1,0.0193,0.000187733,0.000187733,0.000187733
91,829.668,0.02559,0.99074,1,0.02367,0.00018473,0.00018473,0.00018473
